cust_id,region,signup_date
C0130,NA,11.05.2021
C0131,EU,12.05.2021
C0132,EU,13.05.2021
C0133,EU,14.05.2021
C0134,APAC,15.05.2021
C0135,EU,16.05.2021
C0136,NA,17.05.2021
C0137,NA,18.05.2021
C0138,EU,19.05.2021
C0139,APAC,20.05.2021
C0140,APAC,21.05.2021
C0141,EU,22.05.2021
C0142,NA,23.05.2021
C0143,EU,24.05.2021
C0144,EU,25.05.2021
C0145,EU,26.05.2021
C0146,NA,27.05.2021
C0147,NA,28.05.2021
C0148,EU,29.05.2021
C0149,EU,30.05.2021
C0150,APAC,31.05.2021
C0151,EU,01.06.2021
C0152,EU,02.06.2021
C0153,NA,03.06.2021
C0154,APAC,04.06.2021
C0155,EU,05.06.2021
C0156,NA,06.06.2021
C0157,APAC,07.06.2021
C0158,EU,08.06.2021
C0159,NA,09.06.2021
C0160,EU,10.06.2021
C0161,NA,11.06.2021
C0162,NA,12.06.2021
C0163,NA,13.06.2021
C0164,EU,14.06.2021
C0165,APAC,15.06.2021
C0166,EU,16.06.2021
C0167,EU,17.06.2021
C0168,EU,18.06.2021
C0169,NA,19.06.2021
C0170,NA,20.06.2021
C0171,EU,21.06.2021
C0172,NA,22.06.2021
C0173,EU,23.06.2021
C0174,NA,24.06.2021
C0175,EU,25.06.2021
C0176,NA,26.06.2021
C0177,EU,27.06.2021
C0178,APAC,28.06.2021
C0179,EU,29.06.2021
C0180,EU,30.06.2021
C0181,EU,01.07.2021
C0182,APAC,02.07.2021
C0183,APAC,03.07.2021
C0184,EU,04.07.2021
C0185,NA,
C0186,APAC,06.07.2021
C0187,NA,07.07.2021
C0188,NA,08.07.2021
C0189,EU,09.07.2021
C0190,EU,10.07.2021
C0191,APAC,11.07.2021
C0192,APAC,12.07.2021
C0193,NA,13.07.2021
C0194,EU,14.07.2021
C0195,EU,15.07.2021
C0196,NA,16.07.2021
C0197,APAC,17.07.2021
C0198,APAC,18.07.2021
C0199,APAC,19.07.2021
C0200,NA,20.07.2021
C0201,EU,21.07.2021
C0202,EU,22.07.2021
C0203,APAC,23.07.2021
C0204,NA,24.07.2021
C0205,EU,25.07.2021
C0206,EU,26.07.2021
C0207,NA,27.07.2021
C0208,EU,28.07.2021
C0209,EU,29.07.2021
C0210,NA,30.07.2021
C0211,NA,31.07.2021
C0212,NA,01.08.2021
C0213,EU,02.08.2021
C0214,NA,03.08.2021
C0215,EU,04.08.2021
C0216,EU,05.08.2021
C0217,NA,06.08.2021
C0218,NA,07.08.2021
C0219,APAC,08.08.2021
C0220,NA,09.08.2021
C0221,NA,10.08.2021
C0222,EU,11.08.2021
C0223,EU,12.08.2021
C0224,EU,13.08.2021
C0225,EU,14.08.2021
C0226,APAC,15.08.2021
C0227,EU,16.08.2021
C0228,APAC,17.08.2021
C0229,NA,18.08.2021
C0230,APAC,19.08.2021
C0231,NA,20.08.2021
C0232,NA,21.08.2021
C0233,NA,22.08.2021
C0234,EU,23.08.2021
C0235,NA,24.08.2021
C0236,EU,25.08.2021
C0237,EU,26.08.2021
C0238,NA,27.08.2021
C0239,EU,28.08.2021
C0240,APAC,29.08.2021
C0241,APAC,30.08.2021
C0242,APAC,31.08.2021
C0243,EU,01.09.2021
C0244,EU,
C0245,APAC,03.09.2021
C0246,NA,04.09.2021
C0247,APAC,05.09.2021
C0248,APAC,06.09.2021
C0249,APAC,07.09.2021
C0250,EU,08.09.2021
C0251,EU,09.09.2021
C0252,APAC,10.09.2021
C0253,EU,11.09.2021
C0254,EU,12.09.2021
C0255,NA,13.09.2021
C0256,APAC,14.09.2021
C0257,NA,15.09.2021
C0258,NA,16.09.2021
C0259,EU,17.09.2021
C0260,NA,18.09.2021
C0261,APAC,19.09.2021
C0262,EU,20.09.2021
C0263,NA,21.09.2021
C0264,APAC,22.09.2021
C0265,NA,23.09.2021
C0266,NA,24.09.2021
C0267,NA,25.09.2021
C0268,EU,26.09.2021
C0269,EU,27.09.2021
C0270,APAC,28.09.2021
C0271,APAC,29.09.2021
C0272,APAC,30.09.2021
C0273,APAC,01.10.2021
C0274,NA,02.10.2021
C0275,NA,03.10.2021
C0276,APAC,04.10.2021
C0277,NA,05.10.2021
C0278,NA,06.10.2021
C0279,APAC,07.10.2021
C0280,APAC,08.10.2021
C0281,EU,09.10.2021
C0282,EU,10.10.2021
C0283,EU,11.10.2021
C0284,NA,12.10.2021
C0285,EU,13.10.2021
C0286,NA,14.10.2021
C0287,NA,15.10.2021
C0288,EU,
C0289,NA,17.10.2021
C0290,EU,18.10.2021
C0291,EU,19.10.2021
C0292,APAC,20.10.2021
C0293,EU,21.10.2021
C0294,EU,22.10.2021
C0295,NA,23.10.2021
C0296,APAC,24.10.2021
C0297,EU,25.10.2021
C0298,NA,26.10.2021
C0299,EU,27.10.2021
C0300,EU,28.10.2021
C0301,NA,29.10.2021
C0302,NA,30.10.2021
C0303,NA,31.10.2021
C0304,NA,01.11.2021
C0305,APAC,02.11.2021
C0306,NA,03.11.2021
C0307,EU,04.11.2021
C0308,APAC,05.11.2021
C0309,EU,06.11.2021
C0310,NA,07.11.2021
C0311,EU,08.11.2021
C0312,EU,09.11.2021
C0313,APAC,10.11.2021
C0314,APAC,11.11.2021
C0315,NA,12.11.2021
C0316,NA,13.11.2021
C0317,EU,14.11.2021
C0318,EU,15.11.2021
C0319,EU,16.11.2021
C0320,NA,17.11.2021
C0321,NA,18.11.2021
C0322,NA,19.11.2021
C0323,EU,20.11.2021
C0324,APAC,21.11.2021
C0325,NA,22.11.2021
C0326,NA,23.11.2021
C0327,NA,24.11.2021
C0328,NA,25.11.2021
C0329,EU,26.11.2021
C0330,EU,27.11.2021
C0331,APAC,28.11.2021
C0332,EU,29.11.2021
C0333,EU,30.11.2021
C0334,EU,01.12.2021
C0335,EU,02.12.2021
C0336,APAC,03.12.2021
C0337,NA,04.12.2021
C0338,NA,05.12.2021
C0339,EU,06.12.2021
C0340,NA,07.12.2021
C0341,NA,08.12.2021
C0342,EU,09.12.2021
C0343,NA,10.12.2021
C0344,EU,11.12.2021
C0345,NA,12.12.2021
C0346,NA,13.12.2021
C0347,EU,14.12.2021
C0348,EU,15.12.2021
C0349,NA,16.12.2021
C0350,NA,17.12.2021
C0351,APAC,18.12.2021
C0352,NA,
C0353,EU,20.12.2021
C0354,EU,21.12.2021
C0355,NA,22.12.2021
C0356,EU,23.12.2021
C0357,NA,24.12.2021
C0358,APAC,25.12.2021
C0359,NA,26.12.2021
C0360,EU,27.12.2021
C0361,NA,28.12.2021
C0362,NA,29.12.2021
C0363,NA,30.12.2021
C0364,APAC,31.12.2021
C0365,EU,01.01.2022
C0366,APAC,02.01.2022
C0367,APAC,03.01.2022
C0368,EU,04.01.2022
C0369,EU,05.01.2022
C0370,EU,06.01.2022
C0371,EU,07.01.2022
C0372,EU,
C0373,NA,09.01.2022
C0374,EU,10.01.2022
C0375,EU,11.01.2022
C0376,APAC,12.01.2022
C0377,EU,13.01.2022
C0378,APAC,14.01.2022
C0379,EU,15.01.2022
C0380,EU,16.01.2022
C0381,NA,17.01.2022
C0382,NA,18.01.2022
C0383,APAC,19.01.2022
C0384,NA,20.01.2022
C0385,APAC,21.01.2022
C0386,EU,22.01.2022
C0387,EU,23.01.2022
C0388,APAC,24.01.2022
C0389,APAC,25.01.2022
C0390,APAC,26.01.2022
C0391,NA,27.01.2022
C0392,EU,28.01.2022
C0393,APAC,29.01.2022
C0394,EU,30.01.2022
C0395,APAC,31.01.2022
C0396,APAC,01.02.2022
C0397,NA,02.02.2022
C0398,APAC,03.02.2022
C0399,APAC,04.02.2022
C0400,EU,05.02.2022
C0401,APAC,06.02.2022
C0402,NA,07.02.2022
C0403,APAC,08.02.2022
C0404,EU,
C0405,APAC,10.02.2022
C0406,EU,11.02.2022
C0407,EU,12.02.2022
C0408,APAC,13.02.2022
C0409,EU,14.02.2022
C0410,EU,15.02.2022
C0411,APAC,16.02.2022
C0412,APAC,17.02.2022
C0413,NA,18.02.2022
C0414,NA,19.02.2022
C0415,NA,20.02.2022
C0416,EU,21.02.2022
C0417,EU,22.02.2022
C0418,NA,23.02.2022
C0419,APAC,24.02.2022
C0420,APAC,25.02.2022
C0421,APAC,26.02.2022
C0422,EU,27.02.2022
C0423,NA,28.02.2022
C0424,EU,01.03.2022
C0425,NA,02.03.2022
C0426,NA,03.03.2022
C0427,APAC,04.03.2022
C0428,EU,05.03.2022
C0429,EU,06.03.2022
C0430,EU,07.03.2022
C0431,APAC,08.03.2022
C0432,NA,09.03.2022
C0433,EU,10.03.2022
C0434,EU,11.03.2022
C0435,NA,12.03.2022
C0436,EU,13.03.2022
C0437,APAC,14.03.2022
C0438,NA,15.03.2022
C0439,EU,16.03.2022
C0440,EU,17.03.2022
C0441,APAC,18.03.2022
C0442,EU,19.03.2022
C0443,EU,20.03.2022
C0444,APAC,21.03.2022
C0445,APAC,22.03.2022
C0446,APAC,23.03.2022
C0447,APAC,24.03.2022
C0448,EU,25.03.2022
C0449,EU,26.03.2022
C0450,APAC,27.03.2022
C0451,NA,28.03.2022
C0452,NA,29.03.2022
C0453,APAC,30.03.2022
C0454,EU,31.03.2022
C0455,NA,01.04.2022
C0456,EU,02.04.2022
C0457,NA,03.04.2022
C0458,EU,04.04.2022
C0459,EU,
C0460,EU,06.04.2022
C0461,NA,07.04.2022
C0462,NA,08.04.2022
C0463,NA,09.04.2022
C0464,APAC,10.04.2022
C0465,EU,11.04.2022
C0466,EU,12.04.2022
C0467,APAC,13.04.2022
C0468,EU,14.04.2022
C0469,APAC,15.04.2022
C0470,EU,16.04.2022
C0471,APAC,17.04.2022
C0472,EU,18.04.2022
C0473,APAC,19.04.2022
C0474,NA,20.04.2022
C0475,APAC,21.04.2022
C0476,EU,22.04.2022
C0477,NA,23.04.2022
C0478,APAC,24.04.2022
C0479,NA,25.04.2022
C0480,NA,26.04.2022
C0481,NA,27.04.2022
C0482,NA,28.04.2022
C0483,NA,29.04.2022
C0484,NA,30.04.2022
C0485,APAC,01.05.2022
C0486,EU,02.05.2022
C0487,EU,03.05.2022
C0488,APAC,04.05.2022
C0489,APAC,05.05.2022
C0490,NA,06.05.2022
C0491,NA,07.05.2022
C0492,EU,08.05.2022
C0493,EU,09.05.2022
C0494,NA,10.05.2022
C0495,EU,11.05.2022
C0496,NA,12.05.2022
C0497,EU,13.05.2022
C0498,APAC,14.05.2022
C0499,APAC,15.05.2022
C0500,NA,16.05.2022
C0501,NA,17.05.2022
C0502,EU,18.05.2022
C0503,APAC,19.05.2022
C0504,NA,20.05.2022
C0505,EU,21.05.2022
C0506,APAC,22.05.2022
C0507,APAC,23.05.2022
C0508,APAC,
C0509,NA,25.05.2022
C0510,NA,26.05.2022
C0511,NA,27.05.2022
C0512,APAC,28.05.2022
C0513,APAC,29.05.2022
C0514,EU,30.05.2022
C0515,EU,31.05.2022
C0516,EU,01.06.2022
C0517,APAC,02.06.2022
C0518,APAC,03.06.2022
C0519,EU,04.06.2022
C0520,NA,05.06.2022
C0521,EU,06.06.2022
C0522,APAC,07.06.2022
C0523,APAC,08.06.2022
C0524,APAC,09.06.2022
C0525,NA,10.06.2022
C0526,NA,
C0527,EU,12.06.2022
C0528,EU,13.06.2022
C0529,APAC,14.06.2022
C0530,APAC,15.06.2022
C0531,APAC,16.06.2022
C0532,APAC,17.06.2022
C0533,NA,18.06.2022
C0534,APAC,19.06.2022
C0535,APAC,20.06.2022
C0536,APAC,21.06.2022
C0537,EU,
C0538,NA,23.06.2022
C0539,EU,24.06.2022
C0540,APAC,
C0541,NA,26.06.2022
C0542,EU,27.06.2022
C0543,NA,28.06.2022
C0544,NA,29.06.2022
C0545,EU,30.06.2022
C0546,EU,01.07.2022
C0547,NA,02.07.2022
C0548,NA,03.07.2022
C0549,APAC,04.07.2022
C0550,NA,05.07.2022
C0551,APAC,06.07.2022
C0552,NA,07.07.2022
C0553,NA,08.07.2022
C0554,APAC,09.07.2022
C0555,NA,10.07.2022
C0556,EU,11.07.2022
C0557,EU,12.07.2022
C0558,APAC,13.07.2022
C0559,NA,
C0560,NA,15.07.2022
C0561,EU,
C0562,EU,17.07.2022
C0563,EU,18.07.2022
C0564,EU,19.07.2022
C0565,NA,
C0566,EU,21.07.2022
C0567,NA,22.07.2022
C0568,APAC,23.07.2022
C0569,EU,24.07.2022
C0570,NA,25.07.2022
C0571,APAC,26.07.2022
C0572,EU,27.07.2022
C0573,NA,28.07.2022
C0574,APAC,29.07.2022
C0575,APAC,30.07.2022
C0576,EU,31.07.2022
C0577,APAC,01.08.2022
C0578,NA,02.08.2022
C0579,EU,03.08.2022
C0580,NA,04.08.2022
C0581,APAC,05.08.2022
C0582,NA,
C0583,EU,07.08.2022
C0584,NA,
C0585,EU,09.08.2022
C0586,EU,10.08.2022
C0587,EU,11.08.2022
C0588,EU,12.08.2022
C0589,EU,13.08.2022
C0590,EU,14.08.2022
C0591,NA,15.08.2022
C0592,EU,16.08.2022
C0593,EU,17.08.2022
C0594,APAC,18.08.2022
C0595,NA,19.08.2022
C0596,NA,20.08.2022
C0597,EU,21.08.2022
C0598,EU,22.08.2022
C0599,EU,23.08.2022
C0600,EU,24.08.2022
C0601,EU,25.08.2022
C0602,EU,
C0603,EU,27.08.2022
C0604,EU,28.08.2022
C0605,NA,29.08.2022
C0606,EU,30.08.2022
C0607,EU,31.08.2022
C0608,NA,01.09.2022
C0609,NA,02.09.2022
C0610,EU,03.09.2022
C0611,APAC,04.09.2022
C0612,NA,05.09.2022
C0613,EU,06.09.2022
C0614,APAC,07.09.2022
C0615,APAC,08.09.2022
C0616,EU,09.09.2022
C0617,EU,10.09.2022
C0618,APAC,11.09.2022
C0619,NA,12.09.2022
C0620,EU,13.09.2022
C0621,EU,14.09.2022
C0622,EU,15.09.2022
C0623,NA,16.09.2022
C0624,NA,17.09.2022
C0625,EU,18.09.2022
C0626,NA,19.09.2022
C0627,NA,20.09.2022
C0628,EU,21.09.2022
C0629,EU,22.09.2022
C0630,NA,23.09.2022
C0631,APAC,
C0632,NA,25.09.2022
C0633,NA,26.09.2022
C0634,EU,27.09.2022
C0635,NA,28.09.2022
C0636,NA,29.09.2022
C0637,EU,30.09.2022
C0638,EU,01.10.2022
C0639,EU,02.10.2022
C0640,EU,03.10.2022
C0641,EU,04.10.2022
C0642,EU,05.10.2022
C0643,EU,06.10.2022
C0644,EU,07.10.2022
C0645,APAC,08.10.2022
C0646,NA,09.10.2022
C0647,NA,10.10.2022
C0648,APAC,11.10.2022
C0649,NA,12.10.2022
C0650,EU,13.10.2022
C0651,NA,14.10.2022
C0652,NA,15.10.2022
C0653,NA,16.10.2022
C0654,NA,17.10.2022
C0655,EU,18.10.2022
C0656,EU,19.10.2022
C0657,EU,20.10.2022
C0658,NA,21.10.2022
C0659,NA,22.10.2022
C0660,EU,23.10.2022
C0661,APAC,24.10.2022
C0662,NA,25.10.2022
C0663,EU,26.10.2022
C0664,EU,27.10.2022
C0665,EU,28.10.2022
C0666,EU,29.10.2022
C0667,EU,30.10.2022
C0668,EU,31.10.2022
C0669,EU,01.11.2022
C0670,EU,02.11.2022
C0671,APAC,03.11.2022
C0672,EU,04.11.2022
C0673,NA,05.11.2022
C0674,NA,06.11.2022
C0675,APAC,07.11.2022
C0676,EU,08.11.2022
C0677,EU,09.11.2022
C0678,APAC,10.11.2022
C0679,APAC,11.11.2022
C0680,APAC,12.11.2022
C0681,EU,13.11.2022
C0682,EU,14.11.2022
C0683,NA,15.11.2022
C0684,APAC,16.11.2022
C0685,NA,17.11.2022
C0686,NA,18.11.2022
C0687,EU,19.11.2022
C0688,APAC,20.11.2022
C0689,EU,21.11.2022
C0690,EU,22.11.2022
C0691,NA,23.11.2022
C0692,NA,24.11.2022
C0693,EU,25.11.2022
C0694,EU,26.11.2022
C0695,NA,27.11.2022
C0696,EU,28.11.2022
C0697,NA,29.11.2022
C0698,EU,30.11.2022
C0699,NA,01.12.2022
C0700,NA,02.12.2022
C0701,EU,03.12.2022
C0702,EU,04.12.2022
C0703,EU,
C0704,EU,06.12.2022
C0705,APAC,07.12.2022
C0706,EU,08.12.2022
C0707,APAC,09.12.2022
C0708,EU,10.12.2022
C0709,NA,11.12.2022
C0710,APAC,12.12.2022
C0711,NA,13.12.2022
C0712,NA,14.12.2022
C0713,NA,15.12.2022
C0714,EU,16.12.2022
C0715,APAC,17.12.2022
C0716,APAC,18.12.2022
C0717,APAC,19.12.2022
C0718,EU,20.12.2022
C0719,NA,21.12.2022
C0720,APAC,22.12.2022
C0721,EU,23.12.2022
C0722,EU,24.12.2022
C0723,NA,25.12.2022
C0724,NA,
C0725,APAC,27.12.2022
C0726,EU,28.12.2022
C0727,APAC,29.12.2022
C0728,EU,30.12.2022
C0729,EU,31.12.2022
C0730,EU,01.01.2023
C0731,APAC,02.01.2023
C0732,NA,03.01.2023
C0733,NA,04.01.2023
C0734,EU,05.01.2023
C0735,APAC,06.01.2023
C0736,EU,07.01.2023
C0737,APAC,08.01.2023
C0738,NA,09.01.2023
C0739,EU,10.01.2023
C0740,NA,11.01.2023
C0741,EU,12.01.2023
C0742,NA,13.01.2023
C0743,NA,14.01.2023
C0744,EU,15.01.2023
C0745,APAC,16.01.2023
C0746,EU,17.01.2023
C0747,NA,18.01.2023
C0748,APAC,19.01.2023
C0749,NA,20.01.2023
C0750,EU,21.01.2023
C0751,APAC,22.01.2023
C0752,NA,23.01.2023
C0753,EU,24.01.2023
C0754,EU,25.01.2023
C0755,APAC,26.01.2023
C0756,NA,27.01.2023
C0757,NA,28.01.2023
C0758,APAC,29.01.2023
C0759,APAC,30.01.2023
C0760,EU,31.01.2023
C0761,EU,
C0762,EU,02.02.2023
C0763,NA,03.02.2023
C0764,EU,04.02.2023
C0765,NA,05.02.2023
C0766,APAC,06.02.2023
C0767,APAC,07.02.2023
C0768,EU,08.02.2023
C0769,APAC,09.02.2023
C0770,EU,10.02.2023
C0771,APAC,11.02.2023
C0772,EU,12.02.2023
C0773,EU,13.02.2023
C0774,APAC,14.02.2023
C0775,EU,15.02.2023
C0776,EU,16.02.2023
C0777,NA,17.02.2023
C0778,NA,18.02.2023
C0779,NA,19.02.2023
C0780,NA,20.02.2023
C0781,NA,21.02.2023
C0782,EU,22.02.2023
C0783,EU,23.02.2023
C0784,EU,24.02.2023
C0785,APAC,25.02.2023
C0786,NA,26.02.2023
C0787,NA,27.02.2023
C0788,NA,28.02.2023
C0789,APAC,01.03.2023
C0790,EU,02.03.2023
C0791,NA,03.03.2023
C0792,NA,04.03.2023
C0793,NA,05.03.2023
C0794,EU,06.03.2023
C0795,APAC,07.03.2023
C0796,APAC,08.03.2023
C0797,NA,09.03.2023
C0798,NA,
C0799,APAC,11.03.2023
C0800,NA,12.03.2023
C0801,EU,13.03.2023
C0802,NA,
C0803,NA,15.03.2023
C0804,NA,16.03.2023
C0805,NA,17.03.2023
C0806,APAC,18.03.2023
C0807,APAC,19.03.2023
C0808,NA,20.03.2023
C0809,EU,21.03.2023
C0810,APAC,22.03.2023
C0811,APAC,23.03.2023
C0812,EU,24.03.2023
C0813,APAC,25.03.2023
C0814,APAC,
C0815,NA,27.03.2023
C0816,NA,28.03.2023
C0817,EU,29.03.2023
C0818,EU,
C0819,EU,31.03.2023
C0820,APAC,01.04.2023
C0821,EU,02.04.2023
C0822,EU,03.04.2023
C0823,EU,04.04.2023
C0824,NA,05.04.2023
C0825,APAC,06.04.2023
C0826,EU,07.04.2023
C0827,EU,08.04.2023
C0828,NA,09.04.2023
C0829,NA,10.04.2023
C0830,EU,11.04.2023
C0831,NA,12.04.2023
C0832,EU,13.04.2023
C0833,EU,14.04.2023
C0834,NA,15.04.2023
C0835,NA,16.04.2023
C0836,APAC,17.04.2023
C0837,EU,18.04.2023
C0838,NA,19.04.2023
C0839,NA,20.04.2023
C0840,EU,
C0841,NA,22.04.2023
C0842,EU,23.04.2023
C0843,APAC,24.04.2023
C0844,EU,25.04.2023
C0845,NA,26.04.2023
C0846,EU,27.04.2023
C0847,APAC,
C0848,NA,29.04.2023
C0849,NA,30.04.2023
C0850,EU,01.05.2023
C0851,NA,02.05.2023
C0852,EU,03.05.2023
C0853,APAC,04.05.2023
C0854,EU,05.05.2023
C0855,EU,06.05.2023
C0856,EU,07.05.2023
C0857,NA,
C0858,NA,09.05.2023
C0859,EU,10.05.2023
C0860,APAC,11.05.2023
C0861,NA,12.05.2023
C0862,NA,13.05.2023
C0863,NA,
C0864,NA,15.05.2023
C0865,NA,16.05.2023
C0866,EU,17.05.2023
C0867,EU,18.05.2023
C0868,APAC,19.05.2023
C0869,APAC,20.05.2023
C0870,EU,21.05.2023
C0871,EU,22.05.2023
C0872,NA,23.05.2023
C0873,NA,24.05.2023
C0874,EU,
C0875,EU,26.05.2023
C0876,NA,27.05.2023
C0877,NA,28.05.2023
C0878,EU,29.05.2023
C0879,EU,30.05.2023
C0880,EU,31.05.2023
C0881,NA,01.06.2023
C0882,EU,02.06.2023
C0883,EU,03.06.2023
C0884,APAC,04.06.2023
C0885,EU,05.06.2023
C0886,NA,06.06.2023
C0887,EU,07.06.2023
C0888,EU,08.06.2023
C0889,EU,09.06.2023
C0890,NA,10.06.2023
C0891,APAC,11.06.2023
C0892,APAC,12.06.2023
C0893,EU,13.06.2023
C0894,NA,14.06.2023
C0895,EU,15.06.2023
C0896,EU,16.06.2023
C0897,APAC,17.06.2023
C0898,EU,18.06.2023
C0899,EU,19.06.2023
C0900,EU,20.06.2023
C0901,EU,21.06.2023
C0902,EU,22.06.2023
C0903,NA,23.06.2023
C0904,NA,24.06.2023
C0905,APAC,25.06.2023
C0906,APAC,
C0907,EU,27.06.2023
C0908,EU,28.06.2023
C0909,EU,29.06.2023
C0910,NA,30.06.2023
C0911,EU,01.07.2023
C0912,NA,02.07.2023
C0913,NA,03.07.2023
C0914,NA,04.07.2023
C0915,NA,05.07.2023
C0916,EU,
C0917,APAC,07.07.2023
C0918,APAC,08.07.2023
C0919,EU,09.07.2023
C0920,APAC,10.07.2023
C0921,NA,
C0922,APAC,12.07.2023
C0923,APAC,13.07.2023
C0924,NA,14.07.2023
C0925,EU,15.07.2023
C0926,EU,16.07.2023
C0927,NA,17.07.2023
C0928,NA,18.07.2023
C0929,EU,19.07.2023
C0930,EU,20.07.2023
C0931,APAC,21.07.2023
C0932,APAC,22.07.2023
C0933,NA,23.07.2023
C0934,EU,24.07.2023
C0935,EU,25.07.2023
C0936,EU,26.07.2023
C0937,APAC,27.07.2023
C0938,EU,28.07.2023
C0939,NA,29.07.2023
C0940,EU,30.07.2023
C0941,NA,31.07.2023
C0942,NA,01.08.2023
C0943,APAC,02.08.2023
C0944,EU,03.08.2023
C0945,EU,04.08.2023
C0946,EU,05.08.2023
C0947,APAC,06.08.2023
C0948,APAC,07.08.2023
C0949,NA,08.08.2023
C0950,NA,09.08.2023
C0951,NA,10.08.2023
C0952,EU,11.08.2023
C0953,APAC,12.08.2023
C0954,NA,13.08.2023
C0955,EU,14.08.2023
C0956,NA,15.08.2023
C0957,EU,16.08.2023
C0958,EU,17.08.2023
C0959,NA,18.08.2023
C0960,EU,19.08.2023
C0961,NA,20.08.2023
C0962,EU,21.08.2023
C0963,EU,22.08.2023
C0964,EU,23.08.2023
C0965,EU,24.08.2023
C0966,NA,25.08.2023
C0967,EU,26.08.2023
C0968,NA,27.08.2023
C0969,NA,28.08.2023
C0970,NA,29.08.2023
C0971,APAC,30.08.2023
C0972,NA,
C0973,EU,01.09.2023
C0974,EU,02.09.2023
C0975,EU,03.09.2023
C0976,NA,
C0977,EU,05.09.2023
C0978,NA,06.09.2023
C0979,NA,
C0980,EU,08.09.2023
C0981,APAC,
C0982,EU,10.09.2023
C0983,EU,11.09.2023
C0984,NA,12.09.2023
C0985,NA,13.09.2023
C0986,NA,14.09.2023
C0987,NA,
C0988,EU,16.09.2023
C0989,APAC,17.09.2023
C0990,APAC,18.09.2023
C0991,NA,19.09.2023
C0992,EU,20.09.2023
C0993,NA,21.09.2023
C0994,EU,22.09.2023
C0995,EU,23.09.2023
C0996,APAC,24.09.2023
C0997,EU,25.09.2023
C0998,APAC,26.09.2023
